name,team,streak,seasons
Ted Williams,BOS,84,1949
Ted Williams,BOS,74,1941-1942
Joe DiMaggio,NYY,74,1941
Orlando Cabrera,LAA,63,2006
Mark McGwire,OAK,62,1995-1996
Jim Thome,"CLE,PHI",60,2002-2003
Will Clark,TEX,59,1995-1996
Barry Bonds,SFG,58,2003
Barry Bonds,SFG,58,2001-2002
Duke Snider,BRO,58,1954
Derek Jeter,NYY,57,1998-1999
Frank Thomas,CHW,57,1995-1996
Wade Boggs,BOS,57,1985
George Kell,DET,57,1950
Roger Bresnahan,NYG,57,1904
Ryan Klesko,SDP,56,2002
Mike Schmidt,PHI,56,1981-1982
Arky Vaughan,PIT,56,1936
Stan Musial,STL,55,1943
Harry Heilmann,DET,55,1922-1923
Ty Cobb,DET,55,1915
Luke Appling,CHW,54,1938-1939
Ray Blades,STL,54,1925
Álex Rodríguez,NYY,53,2004
Shawn Green,LAD,53,2000
Luke Appling,CHW,53,1936
Matty McIntyre,DET,53,1908
Shin-Soo Choo,TEX,52,2018
Kevin Millar,BAL,52,2007
Gary Sheffield,ATL,52,2002
Tony Phillips,DET,52,1993
Greg Gross,HOU,52,1975
Jim Wynn,HOU,52,1969
Mel Almada,"SLB,WSH",52,1938
Joe DiMaggio,NYY,52,1937
Lou Gehrig,NYY,52,1934
Jack Tobin,SLB,52,1922
Tris Speaker,CLE,52,1920
Ty Cobb,DET,52,1914
George Brett,KCR,51,1980
Ben Chapman,NYY,51,1933
Ken Williams,SLB,51,1923
Babe Ruth,NYY,51,1923
Lou Whitaker,DET,50,1991
Vince Coleman,STL,50,1987
Joe Vosmik,BOS,50,1938
Paul Waner,PIT,50,1936-1937
Tris Speaker,CLE,50,1926
Johnny Bates,CIN,50,1911
Manny Ramírez,CLE,49,2000
Phil Nevin,SDP,49,2000
Ken Singleton,BAL,49,1977
Jimmie Foxx,BOS,49,1939
Lou Gehrig,NYY,49,1935
Lou Gehrig,NYY,49,1933-1934
Chuck Klein,PHI,49,1930
Harry Heilmann,DET,49,1923-1924
Tommy Pham,TBR,48,2018-2019
Joey Votto,CIN,48,2015
Albert Pujols,STL,48,2001
Bobby Abreu,PHI,48,2000-2001
Jim Thome,CLE,48,1999
Tony Phillips,DET,48,1993
Dale Murphy,ATL,48,1987
Pete Rose,CIN,48,1978
Solly Hemus,STL,48,1953
Ted Williams,BOS,48,1951
Ted Williams,BOS,48,1942-1946
Ray Sanders,STL,48,1944
Stan Spence,WSH,48,1942
Marv Owen,CHW,48,1938
Zeke Bonura,CHW,48,1936
Eddie Collins,CHW,48,1917-1918
Kyle Schwarber,PHI,47,2024-2025
Matt Holliday,STL,47,2014-2015
